iter	F1	Logloss
0	0.9964058605	0.5136488585
1	0.9968233257	0.3801095518
2	0.997214904	0.283124818
3	0.9973489843	0.2094189586
4	0.9972724284	0.1531763472
5	0.9972170221	0.1119260716
6	0.9973313192	0.08306442756
7	0.9974445087	0.06457620882
8	0.9981772276	0.04938366572
9	0.9983793926	0.03957668706
10	0.998670561	0.03311101241
11	0.9987871954	0.02632690502
12	0.9987871954	0.02193955725
13	0.998785944	0.01829358602
14	0.9988072178	0.01418686096
15	0.9988535228	0.01283824244
16	0.9988422649	0.01145777741
17	0.9988522972	0.009994119538
18	0.9988510543	0.009017776
19	0.99886983	0.0082077149
20	0.9988723387	0.00757256073
21	0.9989475926	0.007110639613
22	0.998950101	0.006698631934
23	0.9990002681	0.006187689595
24	0.9990040227	0.005893379969
25	0.9990278491	0.005443506001
26	0.9991156207	0.005100651011
27	0.9992071375	0.004743411079
28	0.9993612992	0.004621220494
29	0.9995141607	0.004466532941
30	0.9995880688	0.00431712238
31	0.9996356648	0.004113859108
32	0.9996669747	0.003845581251
33	0.9996769937	0.003714821902
34	0.9997659038	0.003624854738
35	0.9997671554	0.003315451165
36	0.9997684075	0.003243113813
37	0.9998172387	0.003075841226
38	0.9998184907	0.002928530343
39	0.9998184902	0.002674645266
40	0.9998172391	0.002517176909
41	0.9998222471	0.002434634992
42	0.9998184907	0.002255024886
43	0.9998285067	0.002210835782
44	0.9998322614	0.001993701149
45	0.9998310098	0.001940731518
46	0.9998472851	0.001863983188
47	0.9998547971	0.001800167886
48	0.9998973609	0.001753573675
49	0.9999324106	0.001704270351
50	0.9999361653	0.001553783446
51	0.9999386685	0.00143640199
52	0.9999511859	0.001393738177
53	0.9999511859	0.001350663658
54	0.9999611993	0.001331038654
55	0.9999611993	0.001277091816
56	0.9999611993	0.001243986781
57	0.9999624509	0.001204647986
58	0.9999637026	0.001148585247
59	0.9999637026	0.001133683473
60	0.9999649542	0.001044291297
61	0.9999649542	0.001015862823
62	0.9999649542	0.0009908499246
63	0.9999749675	0.0009730063587
64	0.9999662059	0.0009106653036
65	0.9999749675	0.0009010202001
66	0.9999812257	0.0008557156536
67	0.9999812257	0.0008383414448
68	0.9999824773	0.0008143701416
69	0.9999824773	0.0007846171751
70	0.9999824773	0.0007552369675
71	0.9999824773	0.0007406512204
72	0.9999837289	0.0007199628975
73	0.9999849805	0.0006985544728
74	0.9999849805	0.0006696351058
75	0.9999849805	0.0006561156829
76	0.9999849805	0.0006433420332
77	0.9999874838	0.0006208038086
78	0.9999862322	0.0006083803629
79	0.9999874838	0.0005707273433
80	0.9999887354	0.0005527283129
81	0.9999887354	0.0005415932887
82	0.9999887354	0.0005314381727
83	0.9999887354	0.0005053310228
84	0.9999887354	0.0004949936379
85	0.9999887354	0.0004697110341
86	0.9999887354	0.0004605355535
87	0.9999912386	0.0004496668206
88	0.9999912386	0.0004399253867
89	0.9999912386	0.0004316880119
90	0.9999912386	0.0004244699592
91	0.9999912386	0.0004171385363
92	0.9999912386	0.0004109691723
93	0.9999912386	0.0004042937101
94	0.9999924902	0.0003849525049
95	0.9999924902	0.000376823129
96	0.9999924902	0.0003594610015
97	0.9999924902	0.0003514701254
98	0.9999937419	0.0003424219801
99	0.9999937419	0.0003357774525
100	0.9999937419	0.0003197163542
101	0.9999937419	0.0003125523289
102	0.9999937419	0.0003125523289
103	0.9999937419	0.0003098501417
104	0.9999937419	0.0003098464752
105	0.9999937419	0.0003064532873
106	0.9999937419	0.0003064449996
107	0.9999937419	0.000304233149
108	0.9999937419	0.0002984644038
109	0.9999937419	0.0002984644038
110	0.9999937419	0.0002877979734
111	0.9999937419	0.0002877979734
112	0.9999937419	0.0002877937089
113	0.9999937419	0.0002877895003
114	0.9999937419	0.0002877849428
115	0.9999937419	0.0002877804242
116	0.9999949935	0.0002800491868
117	0.9999962451	0.0002692300168
118	0.9999962451	0.0002692149217
119	0.9999962451	0.0002638465641
120	0.9999962451	0.0002523986829
121	0.9999962451	0.0002523986829
122	0.9999962451	0.0002523986829
123	0.9999962451	0.0002523873522
124	0.9999962451	0.0002523873522
125	0.9999962451	0.0002523804875
126	0.9999962451	0.000252378043
127	0.9999962451	0.000252378043
128	0.9999962451	0.0002477097498
129	0.9999962451	0.0002460427259
130	0.9999962451	0.0002460393027
131	0.9999962451	0.0002438295523
132	0.9999962451	0.0002438206052
133	0.9999962451	0.0002438107778
134	0.9999962451	0.0002386701164
135	0.9999962451	0.0002386679426
136	0.9999962451	0.0002347671502
137	0.9999962451	0.0002347671502
138	0.9999962451	0.0002307094456
139	0.9999962451	0.0002199565827
140	0.9999962451	0.0002199544
141	0.9999962451	0.0002199544
142	0.9999962451	0.0002199523105
143	0.9999962451	0.0002199475672
144	0.9999962451	0.0002158349556
145	0.9999962451	0.0002158327562
146	0.9999962451	0.0002158327562
147	0.9999962451	0.0002158327562
148	0.9999962451	0.0002158327562
149	0.9999962451	0.0002138852215
150	0.9999962451	0.0002138852215
151	0.9999962451	0.0002117163516
152	0.9999962451	0.0002117163516
153	0.9999962451	0.0002103884814
154	0.9999962451	0.0002059504858
155	0.9999962451	0.0002059504858
156	0.9999962451	0.0002059483706
157	0.9999962451	0.0002059483706
158	0.9999962451	0.0002046774546
159	0.9999962451	0.0002046725169
160	0.9999962451	0.0002046725169
161	0.9999962451	0.0002046702824
162	0.9999962451	0.0002046702824
163	0.9999962451	0.000204668722
164	0.9999962451	0.000204666507
165	0.9999962451	0.0002046609875
166	0.9999962451	0.0002013066442
167	0.9999962451	0.0002013066442
168	0.9999962451	0.0002013066442
169	0.9999962451	0.0002013066442
170	0.9999962451	0.000200150525
171	0.9999962451	0.000200150525
172	0.9999962451	0.000200150525
173	0.9999962451	0.000200150525
174	0.9999962451	0.0002001463616
175	0.9999962451	0.0001950023444
176	0.9999962451	0.0001950023444
177	0.9999962451	0.0001950023444
178	0.9999962451	0.0001949917306
179	0.9999962451	0.0001949917306
180	0.9999962451	0.0001949863004
181	0.9999962451	0.0001949808971
182	0.9999962451	0.000194975469
183	0.9999962451	0.0001949700639
184	0.9999962451	0.0001949657331
185	0.9999962451	0.0001949637575
186	0.9999962451	0.0001949637575
187	0.9999962451	0.0001949585075
188	0.9999962451	0.0001949558443
189	0.9999962451	0.0001949536983
190	0.9999962451	0.0001925527431
191	0.9999962451	0.0001925475952
192	0.9999962451	0.0001925460326
193	0.9999962451	0.0001925460326
194	0.9999962451	0.0001925441501
195	0.9999962451	0.0001925441501
196	0.9999962451	0.0001925266976
197	0.9999962451	0.0001925266976
198	0.9999962451	0.0001925215524
199	0.9999962451	0.0001925183691
200	0.9999962451	0.0001925183691
201	0.9999962451	0.0001925183691
202	0.9999962451	0.0001925183691
203	0.9999962451	0.0001925162511
204	0.9999962451	0.0001925142689
205	0.9999962451	0.0001925122948
206	0.9999962451	0.0001925122948
207	0.9999962451	0.0001925014703
208	0.9999962451	0.0001925014703
209	0.9999962451	0.0001925014703
210	0.9999962451	0.0001924913212
211	0.9999962451	0.0001924817748
212	0.9999962451	0.0001924817748
213	0.9999962451	0.0001924817748
214	0.9999962451	0.0001924817748
215	0.9999962451	0.0001924801637
216	0.9999962451	0.0001924801637
217	0.9999962451	0.0001924783547
218	0.9999962451	0.0001924688286
219	0.9999962451	0.0001924661785
220	0.9999962451	0.0001924661785
221	0.9999962451	0.0001924661785
222	0.9999962451	0.0001924661785
223	0.9999962451	0.0001924563399
224	0.9999962451	0.0001924563399
225	0.9999962451	0.0001924563399
226	0.9999962451	0.0001924563399
227	0.9999962451	0.0001924563399
228	0.9999962451	0.0001924563399
229	0.9999962451	0.000192435736
230	0.9999962451	0.0001924252754
231	0.9999962451	0.0001924252754
232	0.9999962451	0.0001924211513
233	0.9999962451	0.0001924211513
234	0.9999962451	0.000192419033
235	0.9999962451	0.0001896459003
236	0.9999962451	0.0001896459003
237	0.9999962451	0.0001896430353
238	0.9999962451	0.0001896430353
239	0.9999962451	0.0001896430353
240	0.9999962451	0.0001896430353
241	0.9999962451	0.0001896377433
242	0.9999962451	0.0001896377433
243	0.9999962451	0.0001896341176
244	0.9999962451	0.0001896329285
245	0.9999962451	0.0001896329285
246	0.9999962451	0.0001896329285
247	0.9999962451	0.0001896314438
248	0.9999962451	0.0001896314438
249	0.9999962451	0.0001896314438
250	0.9999962451	0.0001896314438
251	0.9999962451	0.0001896314438
252	0.9999962451	0.0001896314438
253	0.9999962451	0.0001896314438
254	0.9999962451	0.0001896314438
255	0.9999962451	0.0001896277154
256	0.9999962451	0.0001877866484
257	0.9999962451	0.000187785145
258	0.9999962451	0.000187785145
259	0.9999962451	0.000187785145
260	0.9999962451	0.000187785145
261	0.9999962451	0.000187785145
262	0.9999962451	0.000187785145
263	0.9999962451	0.000187785145
264	0.9999962451	0.000187785145
265	0.9999962451	0.0001877756875
266	0.9999962451	0.0001877756875
267	0.9999962451	0.0001877756875
268	0.9999962451	0.0001877756875
269	0.9999962451	0.0001838987068
270	0.9999962451	0.0001838987068
271	0.9999962451	0.000183895943
272	0.9999962451	0.0001838944167
273	0.9999962451	0.0001838854511
274	0.9999962451	0.0001838809136
275	0.9999962451	0.0001838795435
276	0.9999962451	0.0001838748943
277	0.9999962451	0.0001838748943
278	0.9999962451	0.0001838748943
279	0.9999962451	0.0001838748943
280	0.9999962451	0.0001838735328
281	0.9999962451	0.0001838542887
282	0.9999962451	0.0001838542887
283	0.9999962451	0.0001838542887
284	0.9999962451	0.0001838529217
285	0.9999962451	0.0001838529217
286	0.9999962451	0.0001838342826
287	0.9999962451	0.0001838294566
288	0.9999962451	0.0001838279892
289	0.9999962451	0.0001838279892
290	0.9999962451	0.0001838233991
291	0.9999962451	0.0001838233991
292	0.9999962451	0.0001838233991
293	0.9999962451	0.000183821958
294	0.9999962451	0.0001838206789
295	0.9999962451	0.0001838206789
296	0.9999962451	0.0001838206789
297	0.9999962451	0.0001838177607
298	0.9999962451	0.0001838177607
299	0.9999962451	0.000183814833
